Annee,sm_cadre,sm_cadre_femme,sm_cadre_homme,ecart_sm_cadre,sm_intermediaire,sm_intermediaire_femme,sm_intermediaire_homme,ecart_sm_intermediaire,sm_employe,sm_employe_femme,sm_employe_homme,ecart_sm_employe,sm_ouvrier,sm_ouvrier_femme,sm_ouvrier_homme,ecart_sm_ouvrier,sm_tot,sm_tot_femme,sm_tot_homme,ecart_sm_tot
1995,35621,27917,38194,"26,9",20512,18436,21764,"15,3",13882,13390,15094,"11,3",13581,11500,14042,"18,1",18262,15524,19894,"22,0"
1996,35753,27962,38480,"27,3",20677,18473,22017,"16,1",13890,13379,15142,"11,6",13753,11431,14248,"19,8",18447,15623,20134,"22,4"
1997,36336,28605,39101,"26,8",20938,18808,22251,"15,5",14150,13662,15316,"10,8",14034,11700,14536,"19,5",18783,15993,20460,"21,8"
1998,36743,29116,39543,"26,4",21094,19001,22399,"15,2",14414,13904,15610,"10,9",14193,11886,14689,"19,1",19075,16321,20728,"21,3"
1999,37830,30043,40744,"26,3",21311,19231,22649,"15,1",14560,14076,15693,"10,3",14412,12086,14902,"18,9",19471,16675,21154,"21,2"
2000,39124,31145,42180,"26,2",21664,19556,23061,"15,2",14713,14246,15799,"9,8",14683,12328,15188,"18,8",19880,17016,21635,"21,3"
2001,40118,32222,43252,"25,5",21884,19775,23319,"15,2",15042,14593,16088,"9,3",15041,12754,15528,"17,9",20342,17428,22143,"21,3"
2002,40983,33013,44212,"25,3",22299,20187,23762,"15,0",15356,14886,16437,"9,4",15434,13044,15936,"18,1",20772,17810,22636,"21,3"
2003,41528,33527,44834,"25,2",22747,20627,24236,"14,9",15650,15182,16711,"9,1",15821,13312,16338,"18,5",21210,18237,23090,"21,0"
2004,42214,34058,45693,"25,5",23122,20954,24676,"15,1",15919,15479,16927,"8,6",16236,13774,16743,"17,7",21690,18676,23633,"21,0"
2005,43409,35253,46960,"24,9",23673,21524,25226,"14,7",16393,15960,17386,"8,2",16734,14286,17239,"17,1",22308,19314,24255,"20,4"
2006,44234,35829,47993,"25,3",24159,21941,25767,"14,8",16699,16289,17634,"7,6",16930,14364,17450,"17,7",22718,19711,24678,"20,1"
2007,45867,37169,49855,"25,4",24776,22490,26465,"15,0",17104,16686,18062,"7,6",17421,14737,17966,"18,0",23438,20316,25496,"20,3"
2008,46864,38011,51030,"25,5",25442,23051,27231,"15,4",17606,17170,18627,"7,8",18123,15300,18688,"18,1",24160,20951,26299,"20,3"
2009,46154,38158,49951,"23,6",25464,23302,27173,"14,2",17815,17408,18792,"7,4",18519,15650,19097,"18,0",24481,21376,26588,"19,6"
2010,47422,39661,51009,"22,2",25915,23935,27489,"12,9",18064,17690,18976,"6,8",18782,16012,19344,"17,2",24975,21851,27122,"19,4"
2011,47652,39988,51341,"22,1",26434,24354,28030,"13,1",18665,18246,19662,"7,2",19649,16754,20233,"17,2",25594,22427,27766,"19,2"
2012,48124,40580,51852,"21,7",26630,24552,28257,"13,1",18892,18469,19900,"7,2",19926,17113,20515,"16,6",25983,22828,28162,"18,9"
2013,47922,40650,51620,"21,3",26743,24644,28418,"13,3",19100,18678,20088,"7,0",20053,17222,20646,"16,6",26148,23045,28313,"18,6"
2014,48406,41406,52036,"20,4",27073,24958,28783,"13,3",19361,18902,20405,"7,4",20244,17478,20827,"16,1",26417,23377,28555,"18,1"
2015,48928,41930,52637,"20,3",27211,25087,28956,"13,4",19542,19087,20555,"7,1",20491,17781,21062,"15,6",26725,23666,28893,"18,1"
2016,49167,42408,52825,"19,7",27293,25207,29021,"13,1",19577,19130,20551,"6,9",20560,17858,21134,"15,5",26883,23888,29015,"17,7"
2017,49766,43261,53337,"18,9",27844,25791,29569,"12,8",19902,19483,20796,"6,3",20868,18304,21414,"14,5",27407,24511,29460,"16,8"
2018,50578,44199,54138,"18,4",28233,26153,30000,"12,8",20268,19853,21152,"6,1",21288,18666,21850,"14,6",28005,25114,30055,"16,4"
2019,50763,44903,54088,"17,0",28927,26787,30759,"12,9",20878,20472,21734,"5,8",21965,19260,22547,"14,6",28612,25827,30587,"15,6"


















































